,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Outlier
44,CA-2017-118255,2017-03-11,2017-03-13,first class,ON-18715,odella nelson,corporate,eagan,minnesota,55122,central,TEC-AC-10000171,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 25/pack",45.98,False
45,CA-2017-118255,2017-03-11,2017-03-13,first class,ON-18715,odella nelson,corporate,eagan,minnesota,55122,central,OFF-BI-10003291,office supplies,binders,wilson jones leather-like binders with dubllock round rings,17.46,False
46,CA-2015-146703,2015-10-20,2015-10-25,second class,PO-18865,patrick o'donnell,consumer,westland,michigan,48185,central,OFF-ST-10001713,office supplies,storage,"gould plastics 9-pocket panel bin, 18-3/8w x 5-1/4d x 20-1/2h, black",211.96,False
47,CA-2017-169194,2017-06-20,2017-06-25,standard class,LH-16900,lena hernandez,consumer,dover,delaware,19901,east,TEC-AC-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,45.0,False
48,CA-2017-169194,2017-06-20,2017-06-25,standard class,LH-16900,lena hernandez,consumer,dover,delaware,19901,east,TEC-PH-10003988,technology,phones,"lf elite 3d dazzle designer hard case cover, lf stylus pen and wiper for apple iphone 5c mini lite",21.8,False
49,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,darren powers,consumer,new albany,indiana,47150,central,OFF-BI-10004410,office supplies,binders,"c-line peel & stick add-on filing pockets, 8-3/4 x 5-1/8, 10/pack",38.22,False
50,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,darren powers,consumer,new albany,indiana,47150,central,OFF-LA-10002762,office supplies,labels,avery 485,75.18,False
51,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,darren powers,consumer,new albany,indiana,47150,central,FUR-FU-10001706,furniture,furnishings,longer-life soft white bulbs,6.16,False
52,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,darren powers,consumer,new albany,indiana,47150,central,FUR-CH-10003061,furniture,chairs,"global leather task chair, black",89.99,False
53,CA-2017-105816,2017-12-11,2017-12-17,standard class,JM-15265,janet molinari,corporate,new york city,new york,10024,east,OFF-FA-10000304,office supplies,fasteners,advantus push pins,15.26,False
54,CA-2017-105816,2017-12-11,2017-12-17,standard class,JM-15265,janet molinari,corporate,new york city,new york,10024,east,TEC-PH-10002447,technology,phones,at&t cl83451 4-handset telephone,1029.95,True
55,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,troy,new york,12180,east,OFF-ST-10000604,office supplies,storage,home/office personal file carts,208.56,False
56,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,troy,new york,12180,east,OFF-PA-10001569,office supplies,paper,xerox 232,32.4,False
57,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,troy,new york,12180,east,FUR-CH-10003968,furniture,chairs,novimex turbo task chair,319.41,False
58,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,troy,new york,12180,east,OFF-PA-10000587,office supplies,paper,"array parchment paper, assorted colors",14.56,False
59,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,troy,new york,12180,east,TEC-AC-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,30.0,False
60,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,troy,new york,12180,east,OFF-BI-10001460,office supplies,binders,plastic binding combs,48.48,False
61,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,troy,new york,12180,east,OFF-AR-10001868,office supplies,art,prang dustless chalk sticks,1.68,False
62,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,kunst miller,consumer,los angeles,california,90004,west,TEC-AC-10004633,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 3/pack",13.98,False
63,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,kunst miller,consumer,los angeles,california,90004,west,OFF-BI-10001078,office supplies,binders,"acco presstex data binder with storage hooks, dark blue, 14 7/8"" x 11""",25.824,False
64,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,kunst miller,consumer,los angeles,california,90004,west,OFF-PA-10003892,office supplies,paper,xerox 1943,146.73,False
65,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,kunst miller,consumer,los angeles,california,90004,west,FUR-FU-10000397,furniture,furnishings,luxo economy swing arm lamp,79.76,False
66,US-2016-164175,2016-04-30,2016-05-05,standard class,PS-18970,paul stevenson,home office,chicago,illinois,60610,central,FUR-CH-10001146,furniture,chairs,"global value mid-back manager's chair, gray",213.115,False
67,CA-2015-106376,2015-12-05,2015-12-10,standard class,BS-11590,brendan sweed,corporate,gilbert,arizona,85234,west,OFF-AR-10002671,office supplies,art,"hunt boston model 1606 high-volume electric pencil sharpener, beige",1113.024,True
68,CA-2015-106376,2015-12-05,2015-12-10,standard class,BS-11590,brendan sweed,corporate,gilbert,arizona,85234,west,TEC-PH-10002726,technology,phones,nettalk duo voip telephone service,167.968,False
69,CA-2017-119823,2017-06-04,2017-06-06,first class,KD-16270,karen daniels,consumer,springfield,virginia,22153,south,OFF-PA-10000482,office supplies,paper,"snap-a-way black print carbonless ruled speed letter, triplicate",75.88,False
70,CA-2017-106075,2017-09-18,2017-09-23,standard class,HM-14980,henry macallister,consumer,new york city,new york,10009,east,OFF-BI-10004654,office supplies,binders,avery binding system hidden tab executive style index sets,4.616,False
71,CA-2018-114440,2018-09-14,2018-09-17,second class,TB-21520,tracy blumstein,consumer,jackson,michigan,49201,central,OFF-PA-10004675,office supplies,paper,"telephone message books with fax/mobile section, 5 1/2"" x 3 3/16""",19.05,False
72,US-2016-134026,2016-04-26,2016-05-02,standard class,JE-15745,joel eaton,consumer,memphis,tennessee,38109,south,FUR-CH-10000513,furniture,chairs,high-back leather manager's chair,831.936,True
73,US-2016-134026,2016-04-26,2016-05-02,standard class,JE-15745,joel eaton,consumer,memphis,tennessee,38109,south,FUR-FU-10003708,furniture,furnishings,"tenex traditional chairmats for medium pile carpet, standard lip, 36"" x 48""",97.04,False
74,US-2016-134026,2016-04-26,2016-05-02,standard class,JE-15745,joel eaton,consumer,memphis,tennessee,38109,south,OFF-ST-10004123,office supplies,storage,safco industrial wire shelving system,72.784,False
75,US-2018-118038,2018-12-09,2018-12-11,first class,KB-16600,ken brennan,corporate,houston,texas,77041,central,OFF-BI-10004182,office supplies,binders,economy binders,1.248,False
76,US-2018-118038,2018-12-09,2018-12-11,first class,KB-16600,ken brennan,corporate,houston,texas,77041,central,FUR-FU-10000260,furniture,furnishings,"6"" cubicle wall clock, black",9.708,False
77,US-2018-118038,2018-12-09,2018-12-11,first class,KB-16600,ken brennan,corporate,houston,texas,77041,central,OFF-ST-10000615,office supplies,storage,"simplifile personal file, black granite, 15w x 6-15/16d x 11-1/4h",27.24,False
78,US-2015-147606,2015-11-26,2015-12-01,second class,JE-15745,joel eaton,consumer,houston,texas,77070,central,FUR-FU-10003194,furniture,furnishings,"eldon expressions desk accessory, wood pencil holder, oak",19.3,False
79,CA-2017-127208,2017-06-12,2017-06-15,first class,SC-20770,stewart carmichael,corporate,decatur,alabama,35601,south,OFF-AP-10002118,office supplies,appliances,"1.7 cubic foot compact ""cube"" office refrigerators",208.16,False
80,CA-2017-127208,2017-06-12,2017-06-15,first class,SC-20770,stewart carmichael,corporate,decatur,alabama,35601,south,OFF-BI-10002309,office supplies,binders,avery heavy-duty ezd  binder with locking rings,16.74,False
81,CA-2015-139451,2015-10-12,2015-10-16,standard class,DN-13690,duane noonan,consumer,san francisco,california,94122,west,OFF-AR-10002053,office supplies,art,"premium writing pencils, soft, #2 by central association for the blind",14.9,False
82,CA-2015-139451,2015-10-12,2015-10-16,standard class,DN-13690,duane noonan,consumer,san francisco,california,94122,west,OFF-ST-10002370,office supplies,storage,"sortfiler multipurpose personal file organizer, black",21.39,False
83,CA-2016-149734,2016-09-03,2016-09-08,standard class,JC-16105,julie creighton,corporate,durham,north carolina,27707,south,OFF-EN-10000927,office supplies,envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984,False
84,US-2018-119662,2018-11-13,2018-11-16,first class,CS-12400,christopher schild,home office,chicago,illinois,60623,central,OFF-ST-10003656,office supplies,storage,safco industrial wire shelving,230.376,False
85,CA-2018-140088,2018-05-28,2018-05-30,second class,PO-18865,patrick o'donnell,consumer,columbia,south carolina,29203,south,FUR-CH-10000863,furniture,chairs,novimex swivel fabric task chair,301.96,False
86,CA-2018-155558,2018-10-26,2018-11-02,standard class,PG-18895,paul gonzalez,consumer,rochester,minnesota,55901,central,TEC-AC-10001998,technology,accessories,logitech ls21 speaker system - pc multimedia - 2.1-ch - wired,19.99,False
87,CA-2018-155558,2018-10-26,2018-11-02,standard class,PG-18895,paul gonzalez,consumer,rochester,minnesota,55901,central,OFF-LA-10000134,office supplies,labels,avery 511,6.16,False
88,CA-2017-159695,2017-04-05,2017-04-10,second class,GM-14455,gary mitchum,home office,houston,texas,77095,central,OFF-ST-10003442,office supplies,storage,eldon portable mobile manager,158.368,False
89,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,jim sink,corporate,los angeles,california,90036,west,OFF-AR-10004930,office supplies,art,turquoise lead holder with pocket clip,20.1,False
90,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,jim sink,corporate,los angeles,california,90036,west,TEC-PH-10004093,technology,phones,panasonic kx-ts550,73.584,False
91,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,jim sink,corporate,los angeles,california,90036,west,OFF-PA-10000304,office supplies,paper,xerox 1995,6.48,False
92,CA-2016-149587,2016-01-31,2016-02-05,second class,KB-16315,karl braun,consumer,minneapolis,minnesota,55407,central,OFF-PA-10003177,office supplies,paper,xerox 1999,12.96,False
93,CA-2016-149587,2016-01-31,2016-02-05,second class,KB-16315,karl braun,consumer,minneapolis,minnesota,55407,central,FUR-FU-10003799,furniture,furnishings,"seth thomas 13 1/2"" wall clock",53.34,False
94,CA-2016-149587,2016-01-31,2016-02-05,second class,KB-16315,karl braun,consumer,minneapolis,minnesota,55407,central,OFF-BI-10002852,office supplies,binders,ibico standard transparent covers,32.96,False
95,US-2018-109484,2018-11-06,2018-11-12,standard class,RB-19705,roger barcio,home office,portland,oregon,97206,west,OFF-BI-10004738,office supplies,binders,flexible leather- look classic collection ring binder,5.682,False
96,CA-2018-161018,2018-11-09,2018-11-11,second class,PN-18775,parhena norris,home office,new york city,new york,10009,east,FUR-FU-10000629,furniture,furnishings,9-3/4 diameter round wall clock,96.53,False
97,CA-2018-157833,2018-06-17,2018-06-20,first class,KD-16345,katherine ducich,consumer,san francisco,california,94122,west,OFF-BI-10001721,office supplies,binders,trimflex flexible post binders,51.312,False
98,CA-2017-149223,2017-09-06,2017-09-11,standard class,ER-13855,elpida rittenbach,corporate,saint paul,minnesota,55106,central,OFF-AP-10000358,office supplies,appliances,fellowes basic home/office series surge protectors,77.88,False
99,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,rick bensley,home office,chicago,illinois,60610,central,OFF-PA-10003256,office supplies,paper,avery personal creations heavyweight cards,64.624,False
100,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,rick bensley,home office,chicago,illinois,60610,central,TEC-AC-10001767,technology,accessories,sandisk ultra 64 gb microsdhc class 10 memory card,95.976,False
101,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,rick bensley,home office,chicago,illinois,60610,central,OFF-BI-10002609,office supplies,binders,avery hidden tab dividers for binding systems,1.788,False
102,CA-2017-129903,2017-12-01,2017-12-04,second class,GZ-14470,gary zandusky,consumer,rochester,minnesota,55901,central,OFF-PA-10004040,office supplies,paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92,False
103,US-2016-156867,2016-11-13,2016-11-17,standard class,LC-16870,lena cacioppo,consumer,aurora,colorado,80013,west,TEC-AC-10001552,technology,accessories,logitech k350 2.4ghz wireless keyboard,238.896,False
104,US-2016-156867,2016-11-13,2016-11-17,standard class,LC-16870,lena cacioppo,consumer,aurora,colorado,80013,west,FUR-FU-10004006,furniture,furnishings,"deflect-o duramat lighweight, studded, beveled mat for low pile carpeting",102.36,False
105,US-2016-156867,2016-11-13,2016-11-17,standard class,LC-16870,lena cacioppo,consumer,aurora,colorado,80013,west,OFF-BI-10002794,office supplies,binders,"avery trapezoid ring binder, 3"" capacity, black, 1040 sheets",36.882,False
106,CA-2018-119004,2018-11-23,2018-11-28,standard class,JM-15250,janet martin,consumer,charlotte,north carolina,28205,south,TEC-AC-10003499,technology,accessories,memorex mini travel drive 8 gb usb 2.0 flash drive,74.112,False
107,CA-2018-119004,2018-11-23,2018-11-28,standard class,JM-15250,janet martin,consumer,charlotte,north carolina,28205,south,TEC-PH-10002844,technology,phones,speck products candyshell flip case,27.992,False
108,CA-2018-119004,2018-11-23,2018-11-28,standard class,JM-15250,janet martin,consumer,charlotte,north carolina,28205,south,OFF-AR-10000390,office supplies,art,newell chalk holder,3.304,False
109,CA-2016-129476,2016-10-15,2016-10-20,standard class,PA-19060,pete armstrong,home office,orland park,illinois,60462,central,TEC-AC-10000844,technology,accessories,logitech gaming g510s - keyboard,339.96,False
110,CA-2018-146780,2018-12-25,2018-12-30,standard class,CV-12805,cynthia voltz,corporate,new york city,new york,10035,east,FUR-FU-10001934,furniture,furnishings,magnifier swing arm lamp,41.96,False
111,CA-2017-128867,2017-11-03,2017-11-10,standard class,CL-12565,clay ludtke,consumer,urbandale,iowa,50322,central,OFF-AR-10000380,office supplies,art,"hunt powerhouse electric pencil sharpener, blue",75.96,False
112,CA-2017-128867,2017-11-03,2017-11-10,standard class,CL-12565,clay ludtke,consumer,urbandale,iowa,50322,central,OFF-BI-10003981,office supplies,binders,"avery durable plastic 1"" binders",27.24,False
113,CA-2015-115259,2015-08-25,2015-08-27,second class,RC-19960,ryan crowe,consumer,columbus,ohio,43229,east,OFF-FA-10000621,office supplies,fasteners,"oic colored binder clips, assorted sizes",40.096,False
114,CA-2015-115259,2015-08-25,2015-08-27,second class,RC-19960,ryan crowe,consumer,columbus,ohio,43229,east,OFF-EN-10002600,office supplies,envelopes,"redi-strip #10 envelopes, 4 1/8 x 9 1/2",4.72,False
115,CA-2015-115259,2015-08-25,2015-08-27,second class,RC-19960,ryan crowe,consumer,columbus,ohio,43229,east,OFF-PA-10004965,office supplies,paper,xerox 1921,23.976,False
116,CA-2015-115259,2015-08-25,2015-08-27,second class,RC-19960,ryan crowe,consumer,columbus,ohio,43229,east,OFF-EN-10002504,office supplies,envelopes,"tyvek  top-opening peel & seel envelopes, plain white",130.464,False
117,CA-2016-110457,2016-03-02,2016-03-06,standard class,DK-13090,dave kipp,consumer,seattle,washington,98103,west,FUR-TA-10001768,furniture,tables,hon racetrack conference tables,787.53,True
118,US-2016-136476,2016-04-05,2016-04-10,standard class,GG-14650,greg guthrie,corporate,bristol,tennessee,37620,south,OFF-BI-10003650,office supplies,binders,gbc docubind 300 electric binding machine,157.794,False
119,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,wilmington,delaware,19805,east,FUR-FU-10002157,furniture,furnishings,artistic insta-plaque,47.04,False
120,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,wilmington,delaware,19805,east,OFF-BI-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,30.84,False
121,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,wilmington,delaware,19805,east,OFF-ST-10000777,office supplies,storage,"companion letter/legal file, black",226.56,False
122,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,wilmington,delaware,19805,east,OFF-EN-10002500,office supplies,envelopes,globe weis peel & seel first class envelopes,115.02,False
123,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,wilmington,delaware,19805,east,TEC-PH-10003875,technology,phones,kld oscar ii style snap-on ultra thin side flip synthetic leather cover case for htc one htc m7,68.04,False
124,US-2015-152030,2015-12-26,2015-12-28,second class,AD-10180,alan dominguez,home office,houston,texas,77041,central,FUR-CH-10004063,furniture,chairs,global deluxe high-back manager's chair,600.558,True
125,US-2015-134614,2015-09-20,2015-09-25,standard class,PF-19165,philip fox,consumer,bloomington,illinois,61701,central,FUR-TA-10004534,furniture,tables,bevis 44 x 96 conference tables,617.7,True
126,US-2018-107272,2018-11-05,2018-11-12,standard class,TS-21610,troy staebel,consumer,phoenix,arizona,85023,west,OFF-BI-10003274,office supplies,binders,"avery durable slant ring binders, no labels",2.388,False
127,US-2018-107272,2018-11-05,2018-11-12,standard class,TS-21610,troy staebel,consumer,phoenix,arizona,85023,west,OFF-ST-10002974,office supplies,storage,"trav-l-file heavy-duty shuttle ii, black",243.992,False
128,US-2017-125969,2017-11-06,2017-11-10,second class,LS-16975,lindsay shagiari,home office,los angeles,california,90004,west,FUR-CH-10001146,furniture,chairs,"global task chair, black",81.424,False
129,US-2017-125969,2017-11-06,2017-11-10,second class,LS-16975,lindsay shagiari,home office,los angeles,california,90004,west,FUR-FU-10003773,furniture,furnishings,eldon cleatmat plus chair mats for high pile carpets,238.56,False
130,US-2018-164147,2018-02-02,2018-02-05,first class,DW-13585,dorothy wardle,corporate,columbus,ohio,43229,east,TEC-PH-10002293,technology,phones,anker 36w 4-port usb wall charger travel power adapter for iphone 5s 5c 5,59.97,False
131,US-2018-164147,2018-02-02,2018-02-05,first class,DW-13585,dorothy wardle,corporate,columbus,ohio,43229,east,OFF-PA-10002377,office supplies,paper,xerox 1916,78.304,False
132,US-2018-164147,2018-02-02,2018-02-05,first class,DW-13585,dorothy wardle,corporate,columbus,ohio,43229,east,OFF-FA-10002780,office supplies,fasteners,staples,21.456,False
133,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,roseville,california,95661,west,OFF-PA-10001804,office supplies,paper,xerox 195,20.04,False
134,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,roseville,california,95661,west,OFF-PA-10001736,office supplies,paper,xerox 1880,35.44,False
135,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,roseville,california,95661,west,OFF-AR-10001149,office supplies,art,"sanford colorific colored pencils, 12/box",11.52,False
136,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,roseville,california,95661,west,OFF-FA-10002988,office supplies,fasteners,ideal clamps,4.02,False
